op_name,mode,ranks,pid,tid,eid,start_time_us,end_time_us,dur_us,op_type,input_dims,input_dtype
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,0,15057.257376611233,15057.257376611233,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,1,19834.077451378107,19834.077451378107,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,2,43385.41021570563,43385.41021570563,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,3,45930.11224642396,45930.11224642396,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,4,52838.01816403866,52838.01816403866,0,comm,"[16, 1, 2048, 128]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,5,59551.001293584704,59551.001293584704,0,comm,"[16, 8, 256, 192]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,6,62312.36946769059,62312.36946769059,0,comm,"[16, 2048, 1, 192]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,7,67215.29550850391,67215.29550850391,0,comm,"[8, 2048, 2, 192]",torch.bfloat16
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,8,89083.40707421303,89083.40707421303,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,9,98644.29011940956,98644.29011940956,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,10,102930.88224716485,102930.88224716485,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,11,125416.33169166744,125416.33169166744,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,12,127966.97462908924,127966.97462908924,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,13,134895.7004956901,134895.7004956901,0,comm,"[16, 1, 2048, 128]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,14,141521.60962112248,141521.60962112248,0,comm,"[16, 8, 256, 192]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,15,144303.1425587833,144303.1425587833,0,comm,"[16, 2048, 1, 192]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,16,148904.41275201738,148904.41275201738,0,comm,"[8, 2048, 2, 192]",torch.bfloat16
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,17,190595.46245262027,190595.46245262027,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,18,190711.90059185028,190711.90059185028,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,19,202524.20590259135,202524.20590259135,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,20,207289.5138990134,207289.5138990134,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,21,230502.6447866112,230502.6447866112,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,22,233060.6325995177,233060.6325995177,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,23,239958.89141224325,239958.89141224325,0,comm,"[16, 1, 2048, 128]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,24,246687.55219317973,246687.55219317973,0,comm,"[16, 8, 256, 192]",torch.bfloat16
all_to_all_single,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,25,249447.38810881972,249447.38810881972,0,comm,"[16, 2048, 1, 192]",torch.bfloat16
all_gather,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,26,254440.66198542714,254440.66198542714,0,comm,"[8, 2048, 2, 192]",torch.bfloat16
all_reduce,forward,"[48, 49, 50, 51, 52, 53, 54, 55]",0,0,27,291506.5393317491,291506.5393317491,0,comm,"[8, 2048, 2048]",torch.bfloat16
