size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.27,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,223.2,0.00,0.00,0
256,8,float,none,-1,223.3,0.00,0.00,0
512,16,float,none,-1,223.7,0.00,0.00,0
1024,32,float,none,-1,223.8,0.00,0.00,0
2048,64,float,none,-1,223.8,0.01,0.01,0
4096,128,float,none,-1,223.8,0.02,0.02,0
8192,256,float,none,-1,223.6,0.04,0.03,0
16384,512,float,none,-1,228.8,0.07,0.06,0
32768,1024,float,none,-1,229.8,0.14,0.12,0
65536,2048,float,none,-1,241.8,0.27,0.24,0
131072,4096,float,none,-1,279.1,0.47,0.41,0
262144,8192,float,none,-1,328.8,0.80,0.70,0
524288,16384,float,none,-1,431.2,1.22,1.06,0
1048576,32768,float,none,-1,641.3,1.64,1.43,0
2097152,65536,float,none,-1,1047.2,2.00,1.75,0
4194304,131072,float,none,-1,1830.4,2.29,2.00,0
8388608,262144,float,none,-1,3402.6,2.47,2.16,0
16777216,524288,float,none,-1,6564.0,2.56,2.24,0
33554432,1048576,float,none,-1,13393,2.51,2.19,0
67108864,2097152,float,none,-1,26122,2.57,2.25,0
134217728,4194304,float,none,-1,51462,2.61,2.28,0
268435456,8388608,float,none,-1,102171,2.63,2.30,0
536870912,16777216,float,none,-1,203691,2.64,2.31,0
1073741824,33554432,float,none,-1,406277,2.64,2.31,0
2147483648,67108864,float,none,-1,811283,2.65,2.32,0
4294967296,134217728,float,none,-1,1621504,2.65,2.32,0
