size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.14,0.01,0.01,0
256,8,float,none,-1,17.85,0.01,0.01,0
512,16,float,none,-1,17.71,0.03,0.03,0
1024,32,float,none,-1,17.68,0.06,0.05,0
2048,64,float,none,-1,18.27,0.11,0.10,0
4096,128,float,none,-1,18.38,0.22,0.20,0
8192,256,float,none,-1,18.58,0.44,0.39,0
16384,512,float,none,-1,19.08,0.86,0.75,0
32768,1024,float,none,-1,19.38,1.69,1.48,0
65536,2048,float,none,-1,19.28,3.40,2.97,0
131072,4096,float,none,-1,19.45,6.74,5.90,0
262144,8192,float,none,-1,19.44,13.48,11.80,0
524288,16384,float,none,-1,33.29,15.75,13.78,0
1048576,32768,float,none,-1,35.35,29.66,25.95,0
2097152,65536,float,none,-1,39.31,53.35,46.68,0
4194304,131072,float,none,-1,47.11,89.04,77.91,0
8388608,262144,float,none,-1,59.87,140.11,122.60,0
16777216,524288,float,none,-1,95.81,175.12,153.23,0
33554432,1048576,float,none,-1,142.5,235.44,206.01,0
67108864,2097152,float,none,-1,235.4,285.07,249.44,0
134217728,4194304,float,none,-1,424.1,316.45,276.89,0
268435456,8388608,float,none,-1,808.1,332.20,290.67,0
536870912,16777216,float,none,-1,1568.3,342.33,299.54,0
1073741824,33554432,float,none,-1,3077.7,348.87,305.26,0
2147483648,67108864,float,none,-1,6083.4,353.01,308.88,0
4294967296,134217728,float,none,-1,12089,355.29,310.88,0
