size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,15.99,0.01,0.01,0
256,8,float,none,-1,16.55,0.02,0.01,0
512,16,float,none,-1,17.10,0.03,0.03,0
1024,32,float,none,-1,16.72,0.06,0.05,0
2048,64,float,none,-1,17.89,0.11,0.10,0
4096,128,float,none,-1,17.30,0.24,0.21,0
8192,256,float,none,-1,17.83,0.46,0.40,0
16384,512,float,none,-1,18.72,0.88,0.77,0
32768,1024,float,none,-1,23.28,1.41,1.23,0
65536,2048,float,none,-1,32.09,2.04,1.79,0
131072,4096,float,none,-1,49.98,2.62,2.29,0
262144,8192,float,none,-1,95.21,2.75,2.41,0
524288,16384,float,none,-1,190.2,2.76,2.41,0
1048576,32768,float,none,-1,376.6,2.78,2.44,0
2097152,65536,float,none,-1,752.1,2.79,2.44,0
4194304,131072,float,none,-1,1495.8,2.80,2.45,0
8388608,262144,float,none,-1,2987.2,2.81,2.46,0
16777216,524288,float,none,-1,5996.7,2.80,2.45,0
33554432,1048576,float,none,-1,12027,2.79,2.44,0
67108864,2097152,float,none,-1,23948,2.80,2.45,0
134217728,4194304,float,none,-1,47828,2.81,2.46,0
268435456,8388608,float,none,-1,95611,2.81,2.46,0
536870912,16777216,float,none,-1,191408,2.80,2.45,0
1073741824,33554432,float,none,-1,383914,2.80,2.45,0
2147483648,67108864,float,none,-1,769622,2.79,2.44,0
4294967296,134217728,float,none,-1,1541392,2.79,2.44,0
