size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.02,0.01,0.01,0
256,8,float,none,-1,17.74,0.01,0.01,0
512,16,float,none,-1,17.62,0.03,0.03,0
1024,32,float,none,-1,17.66,0.06,0.05,0
2048,64,float,none,-1,18.14,0.11,0.10,0
4096,128,float,none,-1,18.30,0.22,0.20,0
8192,256,float,none,-1,18.53,0.44,0.39,0
16384,512,float,none,-1,18.98,0.86,0.76,0
32768,1024,float,none,-1,19.27,1.70,1.49,0
65536,2048,float,none,-1,19.25,3.41,2.98,0
131072,4096,float,none,-1,19.81,6.62,5.79,0
262144,8192,float,none,-1,19.56,13.40,11.73,0
524288,16384,float,none,-1,33.30,15.74,13.78,0
1048576,32768,float,none,-1,35.34,29.67,25.96,0
2097152,65536,float,none,-1,39.34,53.30,46.64,0
4194304,131072,float,none,-1,47.05,89.14,78.00,0
8388608,262144,float,none,-1,59.89,140.06,122.55,0
16777216,524288,float,none,-1,96.15,174.48,152.67,0
33554432,1048576,float,none,-1,142.3,235.74,206.27,0
67108864,2097152,float,none,-1,235.8,284.57,249.00,0
134217728,4194304,float,none,-1,424.2,316.41,276.85,0
268435456,8388608,float,none,-1,806.7,332.75,291.15,0
536870912,16777216,float,none,-1,1568.5,342.28,299.50,0
1073741824,33554432,float,none,-1,3083.0,348.28,304.75,0
2147483648,67108864,float,none,-1,6099.7,352.06,308.06,0
