size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,35.64,0.00,0.00,0
256,8,float,none,-1,35.37,0.01,0.01,0
512,16,float,none,-1,35.56,0.01,0.01,0
1024,32,float,none,-1,35.21,0.03,0.03,0
2048,64,float,none,-1,35.98,0.06,0.05,0
4096,128,float,none,-1,35.18,0.12,0.10,0
8192,256,float,none,-1,35.56,0.23,0.20,0
16384,512,float,none,-1,35.30,0.46,0.41,0
32768,1024,float,none,-1,35.52,0.92,0.81,0
65536,2048,float,none,-1,36.84,1.78,1.56,0
131072,4096,float,none,-1,39.26,3.34,2.92,0
262144,8192,float,none,-1,50.24,5.22,4.57,0
524288,16384,float,none,-1,68.09,7.70,6.74,0
1048576,32768,float,none,-1,100.9,10.39,9.09,0
2097152,65536,float,none,-1,168.4,12.46,10.90,0
4194304,131072,float,none,-1,296.0,14.17,12.40,0
8388608,262144,float,none,-1,553.1,15.17,13.27,0
16777216,524288,float,none,-1,1038.1,16.16,14.14,0
33554432,1048576,float,none,-1,2020.9,16.60,14.53,0
67108864,2097152,float,none,-1,3988.1,16.83,14.72,0
134217728,4194304,float,none,-1,7953.4,16.88,14.77,0
268435456,8388608,float,none,-1,15933,16.85,14.74,0
536870912,16777216,float,none,-1,31973,16.79,14.69,0
1073741824,33554432,float,none,-1,64248,16.71,14.62,0
