size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.03,0.01,0.01,0
256,8,float,none,-1,17.70,0.01,0.01,0
512,16,float,none,-1,17.61,0.03,0.03,0
1024,32,float,none,-1,17.66,0.06,0.05,0
2048,64,float,none,-1,18.11,0.11,0.10,0
4096,128,float,none,-1,18.34,0.22,0.20,0
8192,256,float,none,-1,18.44,0.44,0.39,0
16384,512,float,none,-1,18.91,0.87,0.76,0
32768,1024,float,none,-1,19.15,1.71,1.50,0
65536,2048,float,none,-1,19.28,3.40,2.97,0
131072,4096,float,none,-1,19.52,6.72,5.88,0
262144,8192,float,none,-1,19.50,13.45,11.77,0
524288,16384,float,none,-1,33.34,15.73,13.76,0
1048576,32768,float,none,-1,35.39,29.63,25.92,0
2097152,65536,float,none,-1,39.48,53.12,46.48,0
4194304,131072,float,none,-1,47.01,89.23,78.07,0
8388608,262144,float,none,-1,59.85,140.17,122.65,0
16777216,524288,float,none,-1,96.04,174.70,152.86,0
33554432,1048576,float,none,-1,142.1,236.09,206.58,0
67108864,2097152,float,none,-1,236.1,284.27,248.73,0
134217728,4194304,float,none,-1,424.0,316.54,276.97,0
268435456,8388608,float,none,-1,806.4,332.89,291.28,0
536870912,16777216,float,none,-1,1566.9,342.62,299.80,0
1073741824,33554432,float,none,-1,3079.1,348.72,305.13,0
2147483648,67108864,float,none,-1,6077.2,353.37,309.20,0
4294967296,134217728,float,none,-1,12105,354.80,310.45,0
