size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,17.78,0.01,0.01,0
256,8,float,none,-1,214.3,0.00,0.00,0
512,16,float,none,-1,214.4,0.00,0.00,0
1024,32,float,none,-1,214.1,0.00,0.00,0
2048,64,float,none,-1,215.1,0.01,0.01,0
4096,128,float,none,-1,215.1,0.02,0.02,0
8192,256,float,none,-1,214.1,0.04,0.03,0
16384,512,float,none,-1,214.2,0.08,0.07,0
32768,1024,float,none,-1,214.2,0.15,0.13,0
65536,2048,float,none,-1,214.3,0.31,0.27,0
131072,4096,float,none,-1,214.9,0.61,0.53,0
262144,8192,float,none,-1,215.3,1.22,1.07,0
524288,16384,float,none,-1,217.0,2.42,2.11,0
1048576,32768,float,none,-1,220.2,4.76,4.17,0
2097152,65536,float,none,-1,225.9,9.28,8.12,0
4194304,131072,float,none,-1,241.6,17.36,15.19,0
8388608,262144,float,none,-1,292.1,28.72,25.13,0
16777216,524288,float,none,-1,353.1,47.52,41.58,0
33554432,1048576,float,none,-1,474.9,70.65,61.82,0
67108864,2097152,float,none,-1,725.5,92.50,80.94,0
134217728,4194304,float,none,-1,1209.7,110.95,97.08,0
268435456,8388608,float,none,-1,2170.6,123.67,108.21,0
536870912,16777216,float,none,-1,4108.0,130.69,114.35,0
1073741824,33554432,float,none,-1,7968.7,134.75,117.90,0
2147483648,67108864,float,none,-1,16177,132.75,116.16,0
4294967296,134217728,float,none,-1,31631,135.79,118.81,0
