size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.07,0.01,0.01,0
256,8,float,none,-1,17.78,0.01,0.01,0
512,16,float,none,-1,17.69,0.03,0.03,0
1024,32,float,none,-1,17.65,0.06,0.05,0
2048,64,float,none,-1,18.25,0.11,0.10,0
4096,128,float,none,-1,18.35,0.22,0.20,0
8192,256,float,none,-1,18.50,0.44,0.39,0
16384,512,float,none,-1,18.95,0.86,0.76,0
32768,1024,float,none,-1,19.34,1.69,1.48,0
65536,2048,float,none,-1,19.28,3.40,2.97,0
131072,4096,float,none,-1,19.39,6.76,5.92,0
262144,8192,float,none,-1,19.50,13.45,11.76,0
524288,16384,float,none,-1,33.38,15.71,13.74,0
1048576,32768,float,none,-1,35.37,29.65,25.94,0
2097152,65536,float,none,-1,39.61,52.95,46.33,0
4194304,131072,float,none,-1,47.15,88.95,77.83,0
8388608,262144,float,none,-1,59.92,140.00,122.50,0
16777216,524288,float,none,-1,96.28,174.26,152.48,0
33554432,1048576,float,none,-1,142.3,235.73,206.26,0
67108864,2097152,float,none,-1,235.9,284.47,248.91,0
134217728,4194304,float,none,-1,424.0,316.55,276.98,0
268435456,8388608,float,none,-1,807.6,332.38,290.84,0
536870912,16777216,float,none,-1,1570.0,341.96,299.22,0
1073741824,33554432,float,none,-1,3079.1,348.72,305.13,0
2147483648,67108864,float,none,-1,6095.7,352.29,308.26,0
4294967296,134217728,float,none,-1,12158,353.27,309.11,0
