size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.22,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.08,0.01,0.01,0
256,8,float,none,-1,17.89,0.01,0.01,0
512,16,float,none,-1,17.64,0.03,0.03,0
1024,32,float,none,-1,17.70,0.06,0.05,0
2048,64,float,none,-1,18.19,0.11,0.10,0
4096,128,float,none,-1,18.32,0.22,0.20,0
8192,256,float,none,-1,18.58,0.44,0.39,0
16384,512,float,none,-1,18.91,0.87,0.76,0
32768,1024,float,none,-1,19.17,1.71,1.50,0
65536,2048,float,none,-1,19.17,3.42,2.99,0
131072,4096,float,none,-1,19.46,6.74,5.89,0
262144,8192,float,none,-1,19.42,13.50,11.81,0
524288,16384,float,none,-1,33.28,15.75,13.78,0
1048576,32768,float,none,-1,35.26,29.74,26.02,0
2097152,65536,float,none,-1,39.48,53.12,46.48,0
4194304,131072,float,none,-1,47.14,88.98,77.86,0
8388608,262144,float,none,-1,59.95,139.92,122.43,0
16777216,524288,float,none,-1,96.08,174.61,152.78,0
33554432,1048576,float,none,-1,142.1,236.12,206.61,0
67108864,2097152,float,none,-1,235.4,285.09,249.45,0
134217728,4194304,float,none,-1,424.1,316.47,276.91,0
268435456,8388608,float,none,-1,807.1,332.60,291.03,0
536870912,16777216,float,none,-1,1568.7,342.24,299.46,0
1073741824,33554432,float,none,-1,3078.8,348.76,305.16,0
2147483648,67108864,float,none,-1,6087.3,352.78,308.68,0
4294967296,134217728,float,none,-1,12091,355.23,310.82,0
