size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.01,0.01,0.01,0
256,8,float,none,-1,17.74,0.01,0.01,0
512,16,float,none,-1,17.70,0.03,0.03,0
1024,32,float,none,-1,17.68,0.06,0.05,0
2048,64,float,none,-1,18.12,0.11,0.10,0
4096,128,float,none,-1,18.30,0.22,0.20,0
8192,256,float,none,-1,18.44,0.44,0.39,0
16384,512,float,none,-1,18.92,0.87,0.76,0
32768,1024,float,none,-1,19.25,1.70,1.49,0
65536,2048,float,none,-1,19.17,3.42,2.99,0
131072,4096,float,none,-1,19.44,6.74,5.90,0
262144,8192,float,none,-1,19.42,13.50,11.81,0
524288,16384,float,none,-1,33.31,15.74,13.77,0
1048576,32768,float,none,-1,35.39,29.63,25.93,0
2097152,65536,float,none,-1,39.40,53.23,46.58,0
4194304,131072,float,none,-1,46.99,89.26,78.11,0
8388608,262144,float,none,-1,59.88,140.08,122.57,0
16777216,524288,float,none,-1,96.03,174.71,152.87,0
33554432,1048576,float,none,-1,142.0,236.24,206.71,0
67108864,2097152,float,none,-1,235.9,284.49,248.93,0
134217728,4194304,float,none,-1,423.9,316.66,277.08,0
268435456,8388608,float,none,-1,806.3,332.91,291.29,0
536870912,16777216,float,none,-1,1568.7,342.24,299.46,0
1073741824,33554432,float,none,-1,3080.1,348.60,305.03,0
2147483648,67108864,float,none,-1,6092.8,352.46,308.40,0
4294967296,134217728,float,none,-1,12089,355.27,310.86,0
