size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,17.85,0.01,0.01,0
256,8,float,none,-1,11.03,0.02,0.02,0
512,16,float,none,-1,10.96,0.05,0.04,0
1024,32,float,none,-1,10.76,0.10,0.08,0
2048,64,float,none,-1,11.20,0.18,0.16,0
4096,128,float,none,-1,11.08,0.37,0.32,0
8192,256,float,none,-1,11.03,0.74,0.65,0
16384,512,float,none,-1,11.15,1.47,1.29,0
32768,1024,float,none,-1,11.02,2.97,2.60,0
65536,2048,float,none,-1,11.15,5.88,5.14,0
131072,4096,float,none,-1,11.14,11.77,10.30,0
262144,8192,float,none,-1,11.06,23.70,20.74,0
524288,16384,float,none,-1,12.02,43.61,38.16,0
1048576,32768,float,none,-1,13.64,76.88,67.27,0
2097152,65536,float,none,-1,17.29,121.30,106.14,0
4194304,131072,float,none,-1,25.41,165.08,144.45,0
8388608,262144,float,none,-1,40.19,208.71,182.62,0
16777216,524288,float,none,-1,70.35,238.47,208.67,0
33554432,1048576,float,none,-1,130.8,256.57,224.50,0
67108864,2097152,float,none,-1,248.0,270.59,236.77,0
134217728,4194304,float,none,-1,485.3,276.58,242.00,0
268435456,8388608,float,none,-1,952.5,281.82,246.59,0
536870912,16777216,float,none,-1,1881.9,285.28,249.62,0
1073741824,33554432,float,none,-1,3727.3,288.07,252.06,0
2147483648,67108864,float,none,-1,7418.2,289.49,253.30,0
4294967296,134217728,float,none,-1,14528,295.63,258.68,0
