size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.48,0.00,0.00,0
8,2,float,sum,-1,17.53,0.00,0.00,0
16,4,float,sum,-1,17.44,0.00,0.00,0
32,8,float,sum,-1,17.44,0.00,0.00,0
64,16,float,sum,-1,17.54,0.00,0.01,0
128,32,float,sum,-1,17.76,0.01,0.01,0
256,64,float,sum,-1,18.08,0.01,0.02,0
512,128,float,sum,-1,18.61,0.03,0.05,0
1024,256,float,sum,-1,18.94,0.05,0.09,0
2048,512,float,sum,-1,224.4,0.01,0.02,0
4096,1024,float,sum,-1,224.0,0.02,0.03,0
8192,2048,float,sum,-1,224.3,0.04,0.06,0
16384,4096,float,sum,-1,224.9,0.07,0.13,0
32768,8192,float,sum,-1,225.2,0.15,0.25,0
65536,16384,float,sum,-1,224.3,0.29,0.51,0
131072,32768,float,sum,-1,226.2,0.58,1.01,0
262144,65536,float,sum,-1,226.8,1.16,2.02,0
524288,131072,float,sum,-1,230.9,2.27,3.97,0
1048576,262144,float,sum,-1,238.5,4.40,7.69,0
2097152,524288,float,sum,-1,267.8,7.83,13.71,0
4194304,1048576,float,sum,-1,308.2,13.61,23.81,0
8388608,2097152,float,sum,-1,375.8,22.32,39.06,0
16777216,4194304,float,sum,-1,539.3,31.11,54.44,0
33554432,8388608,float,sum,-1,814.0,41.22,72.13,0
67108864,16777216,float,sum,-1,1335.8,50.24,87.92,0
134217728,33554432,float,sum,-1,2403.1,55.85,97.74,0
268435456,67108864,float,sum,-1,4473.5,60.01,105.01,0
536870912,134217728,float,sum,-1,8690.6,61.78,108.11,0
1073741824,268435456,float,sum,-1,17352,61.88,108.29,0
2147483648,536870912,float,sum,-1,33794,63.55,111.21,0
4294967296,1073741824,float,sum,-1,66702,64.39,112.68,0
