size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.21,0.00,0.00,0
0,0,float,sum,-1,0.21,0.00,0.00,0
4,1,float,sum,-1,17.29,0.00,0.00,0
8,2,float,sum,-1,17.25,0.00,0.00,0
16,4,float,sum,-1,17.08,0.00,0.00,0
32,8,float,sum,-1,17.12,0.00,0.00,0
64,16,float,sum,-1,17.23,0.00,0.01,0
128,32,float,sum,-1,17.37,0.01,0.01,0
256,64,float,sum,-1,17.60,0.01,0.03,0
512,128,float,sum,-1,18.28,0.03,0.05,0
1024,256,float,sum,-1,11.86,0.09,0.15,0
2048,512,float,sum,-1,11.93,0.17,0.30,0
4096,1024,float,sum,-1,11.94,0.34,0.60,0
8192,2048,float,sum,-1,12.91,0.63,1.11,0
16384,4096,float,sum,-1,13.15,1.25,2.18,0
32768,8192,float,sum,-1,12.74,2.57,4.50,0
65536,16384,float,sum,-1,13.02,5.03,8.81,0
131072,32768,float,sum,-1,15.80,8.30,14.52,0
262144,65536,float,sum,-1,20.32,12.90,22.58,0
524288,131072,float,sum,-1,30.53,17.17,30.05,0
1048576,262144,float,sum,-1,51.88,20.21,35.37,0
2097152,524288,float,sum,-1,96.07,21.83,38.20,0
4194304,1048576,float,sum,-1,187.3,22.40,39.20,0
8388608,2097152,float,sum,-1,366.2,22.91,40.09,0
16777216,4194304,float,sum,-1,728.0,23.05,40.33,0
33554432,8388608,float,sum,-1,1444.8,23.22,40.64,0
67108864,16777216,float,sum,-1,2869.8,23.38,40.92,0
134217728,33554432,float,sum,-1,5695.6,23.57,41.24,0
268435456,67108864,float,sum,-1,11420,23.51,41.14,0
536870912,134217728,float,sum,-1,22885,23.46,41.05,0
1073741824,268435456,float,sum,-1,45820,23.43,41.01,0
2147483648,536870912,float,sum,-1,91570,23.45,41.04,0
4294967296,1073741824,float,sum,-1,182871,23.49,41.10,0
