size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.17,0.00,0.00,0
8,2,float,sum,-1,17.02,0.00,0.00,0
16,4,float,sum,-1,16.95,0.00,0.00,0
32,8,float,sum,-1,17.04,0.00,0.00,0
64,16,float,sum,-1,17.07,0.00,0.01,0
128,32,float,sum,-1,17.18,0.01,0.01,0
256,64,float,sum,-1,17.63,0.01,0.03,0
512,128,float,sum,-1,18.23,0.03,0.05,0
1024,256,float,sum,-1,18.64,0.05,0.10,0
2048,512,float,sum,-1,19.10,0.11,0.19,0
4096,1024,float,sum,-1,20.83,0.20,0.34,0
8192,2048,float,sum,-1,22.99,0.36,0.62,0
16384,4096,float,sum,-1,27.12,0.60,1.06,0
32768,8192,float,sum,-1,27.53,1.19,2.08,0
65536,16384,float,sum,-1,27.91,2.35,4.11,0
131072,32768,float,sum,-1,28.12,4.66,8.16,0
262144,65536,float,sum,-1,28.62,9.16,16.03,0
524288,131072,float,sum,-1,50.05,10.47,18.33,0
1048576,262144,float,sum,-1,53.44,19.62,34.34,0
2097152,524288,float,sum,-1,59.96,34.97,61.20,0
4194304,1048576,float,sum,-1,76.92,54.53,95.42,0
8388608,2097152,float,sum,-1,100.2,83.69,146.46,0
16777216,4194304,float,sum,-1,155.4,107.96,188.94,0
33554432,8388608,float,sum,-1,240.8,139.35,243.87,0
67108864,16777216,float,sum,-1,427.5,156.97,274.69,0
134217728,33554432,float,sum,-1,797.2,168.36,294.63,0
268435456,67108864,float,sum,-1,1544.8,173.76,304.09,0
536870912,134217728,float,sum,-1,3040.4,176.58,309.02,0
1073741824,268435456,float,sum,-1,5985.2,179.40,313.95,0
2147483648,536870912,float,sum,-1,11910,180.30,315.53,0
4294967296,1073741824,float,sum,-1,23748,180.85,316.50,0
