size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.21,0.00,0.00,0
4,1,float,sum,-1,17.11,0.00,0.00,0
8,2,float,sum,-1,16.95,0.00,0.00,0
16,4,float,sum,-1,16.79,0.00,0.00,0
32,8,float,sum,-1,16.87,0.00,0.00,0
64,16,float,sum,-1,17.10,0.00,0.01,0
128,32,float,sum,-1,17.27,0.01,0.01,0
256,64,float,sum,-1,17.46,0.01,0.03,0
512,128,float,sum,-1,18.05,0.03,0.05,0
1024,256,float,sum,-1,18.47,0.06,0.10,0
2048,512,float,sum,-1,19.12,0.11,0.19,0
4096,1024,float,sum,-1,20.65,0.20,0.35,0
8192,2048,float,sum,-1,22.61,0.36,0.63,0
16384,4096,float,sum,-1,27.50,0.60,1.04,0
32768,8192,float,sum,-1,27.89,1.17,2.06,0
65536,16384,float,sum,-1,28.24,2.32,4.06,0
131072,32768,float,sum,-1,28.22,4.64,8.13,0
262144,65536,float,sum,-1,28.44,9.22,16.13,0
524288,131072,float,sum,-1,49.79,10.53,18.43,0
1048576,262144,float,sum,-1,53.34,19.66,34.40,0
2097152,524288,float,sum,-1,60.03,34.93,61.13,0
4194304,1048576,float,sum,-1,76.52,54.81,95.92,0
8388608,2097152,float,sum,-1,100.3,83.65,146.38,0
16777216,4194304,float,sum,-1,155.5,107.88,188.80,0
33554432,8388608,float,sum,-1,239.9,139.86,244.76,0
