size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.47,0.00,0.00,0
8,2,float,sum,-1,17.36,0.00,0.00,0
16,4,float,sum,-1,17.23,0.00,0.00,0
32,8,float,sum,-1,17.28,0.00,0.00,0
64,16,float,sum,-1,17.37,0.00,0.01,0
128,32,float,sum,-1,17.63,0.01,0.01,0
256,64,float,sum,-1,17.71,0.01,0.03,0
512,128,float,sum,-1,18.45,0.03,0.05,0
1024,256,float,sum,-1,18.76,0.05,0.10,0
2048,512,float,sum,-1,19.18,0.11,0.19,0
4096,1024,float,sum,-1,19.22,0.21,0.37,0
8192,2048,float,sum,-1,19.55,0.42,0.73,0
16384,4096,float,sum,-1,20.11,0.81,1.43,0
32768,8192,float,sum,-1,20.39,1.61,2.81,0
65536,16384,float,sum,-1,20.42,3.21,5.62,0
131072,32768,float,sum,-1,20.47,6.40,11.20,0
262144,65536,float,sum,-1,20.84,12.58,22.01,0
524288,131072,float,sum,-1,22.27,23.55,41.21,0
1048576,262144,float,sum,-1,25.34,41.38,72.41,0
2097152,524288,float,sum,-1,32.45,64.63,113.11,0
4194304,1048576,float,sum,-1,51.14,82.01,143.52,0
8388608,2097152,float,sum,-1,84.58,99.17,173.55,0
16777216,4194304,float,sum,-1,153.1,109.59,191.78,0
33554432,8388608,float,sum,-1,281.6,119.16,208.53,0
67108864,16777216,float,sum,-1,528.9,126.89,222.05,0
134217728,33554432,float,sum,-1,1040.8,128.95,225.67,0
268435456,67108864,float,sum,-1,2075.9,129.31,226.29,0
