size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
256,4,float,none,-1,416.0,0.00,0.00,0
512,8,float,none,-1,99.11,0.01,0.00,0
1024,16,float,none,-1,91.65,0.01,0.01,0
2048,32,float,none,-1,86.66,0.02,0.02,0
4096,64,float,none,-1,84.67,0.05,0.05,0
8192,128,float,none,-1,82.88,0.10,0.09,0
16384,256,float,none,-1,82.83,0.20,0.19,0
32768,512,float,none,-1,85.37,0.38,0.36,0
65536,1024,float,none,-1,88.93,0.74,0.69,0
131072,2048,float,none,-1,83.70,1.57,1.47,0
262144,4096,float,none,-1,97.93,2.68,2.51,0
524288,8192,float,none,-1,145.1,3.61,3.39,0
1048576,16384,float,none,-1,219.5,4.78,4.48,0
2097152,32768,float,none,-1,362.9,5.78,5.42,0
4194304,65536,float,none,-1,672.5,6.24,5.85,0
8388608,131072,float,none,-1,1461.8,5.74,5.38,0
16777216,262144,float,none,-1,2553.7,6.57,6.16,0
33554432,524288,float,none,-1,5070.7,6.62,6.20,0
67108864,1048576,float,none,-1,10209,6.57,6.16,0
134217728,2097152,float,none,-1,20225,6.64,6.22,0
268435456,4194304,float,none,-1,39731,6.76,6.33,0
536870912,8388608,float,none,-1,78368,6.85,6.42,0
1073741824,16777216,float,none,-1,155106,6.92,6.49,0
2147483648,33554432,float,none,-1,309544,6.94,6.50,0
4294967296,67108864,float,none,-1,610250,7.04,6.60,0
