Client_Dev,Local_mlx5_0,Local_mlx5_1,Local_mlx5_2,Local_mlx5_3,Local_mlx5_4,Local_mlx5_5,Local_mlx5_6,Local_mlx5_7,Remote_mlx5_0,Remote_mlx5_1,Remote_mlx5_2,Remote_mlx5_3,Remote_mlx5_4,Remote_mlx5_5,Remote_mlx5_6,Remote_mlx5_7
Local_mlx5_0,43934.44,43826.55,43979.11,44044.72,44185.89,44212.69,44284.41,44161.02,44252.35,44242.42,44258.6,44178.74,44323.75,44303.57,44102.76,44239.72
Local_mlx5_1,44059.4,43712.77,43969.92,44035.42,44294.67,44248.78,44323.68,44165.72,44266.08,44340.66,44218.93,44267.72,44235.1,44212.78,44241.6,44328.19
Local_mlx5_2,44093.58,44085.23,43766.07,44062.28,44306.62,44260.73,44163.15,44294.78,44264.99,44549.84,44583.03,44661.24,44559.01,44671.1,44598.52,44635.24
Local_mlx5_3,44550.56,44529.05,44509.29,44398.06,44210.41,44314.4,44284.1,44241.63,44213.51,44274.48,44201.68,44323.91,44199.74,44314.56,44200.59,44217.69
Local_mlx5_4,44581.89,44667.24,44543.05,44332.08,44433.44,44492.28,44652.64,44648.57,44535.37,44523.74,44658.85,44602.91,44624.89,44644.03,44574.19,44538.21
Local_mlx5_5,44545.89,44353.58,44687.46,44700.06,44498.4,44393.39,44547.94,44667.74,44664.51,44677.61,44539.17,44694.19,44551.37,44664.95,44630.41,44675.94
Local_mlx5_6,44495.54,44614.75,44469.38,44693.48,44614.18,44523.65,44410.87,44518.76,44546.19,44633.75,44671.17,44567.09,44636.21,44597.92,44737.64,44604.21
Local_mlx5_7,44528.6,44584.96,44529.77,44369.18,44537.02,44552.12,44590.88,44405.5,44632.53,44543.89,44530.58,44584.85,44639.66,44594.38,44520.52,44703.13
Remote_mlx5_0,44174.58,44329.39,44300.02,44429.42,44270.73,44295.61,44301.6,44276.46,43981.78,44206.89,44081.65,44137.72,44328.44,44237.69,44278.17,44174.3
Remote_mlx5_1,44273.46,44226.69,44299.24,44341.64,44278.35,44297.59,44180.64,44340.2,44173.78,44107.41,44153.83,44037.79,44279.22,44212.94,44305.31,44307.62
Remote_mlx5_2,44270.89,44505.41,44307.25,44283.4,44145.58,44100.16,44288.95,44198.72,44218.66,44965.62,44083.55,44119.73,44313.23,44991.44,44209.29,44235.26
Remote_mlx5_3,44256.53,44319.27,44244.11,44318.85,44266.31,44167.53,44131.4,44237.14,44115.39,44005.96,44227.53,43790.35,44308.68,44196.4,44080.32,44221.51
Remote_mlx5_4,44570.06,44615.09,44585.0,44519.19,44619.54,44582.62,44573.94,44474.66,44615.66,45261.3,44559.57,44561.87,44396.22,44611.97,44582.66,44598.38
Remote_mlx5_5,44553.77,44541.68,44588.28,44606.83,44546.89,44636.25,44855.66,44575.59,44449.45,44445.15,44566.38,44681.33,44546.32,44472.94,44611.35,44643.17
Remote_mlx5_6,44582.27,44549.72,44545.62,44639.45,44554.7,44507.18,44584.29,44615.0,44639.34,44555.32,44641.68,44488.69,44521.2,44616.86,44372.46,44567.95
Remote_mlx5_7,44601.98,44585.18,44599.7,44604.29,44488.37,44566.42,44558.88,44611.87,44557.06,44574.09,44520.08,44522.97,44495.67,44552.38,44663.86,44445.55
