Client_Dev,Local_mlx5_0,Local_mlx5_1,Local_mlx5_2,Local_mlx5_3,Local_mlx5_4,Local_mlx5_5,Local_mlx5_6,Local_mlx5_7,Remote_mlx5_0,Remote_mlx5_1,Remote_mlx5_2,Remote_mlx5_3,Remote_mlx5_4,Remote_mlx5_5,Remote_mlx5_6,Remote_mlx5_7
Local_mlx5_0,1.33,2.68,2.51,2.5,2.36,2.35,2.36,2.38,1.91,2.71,2.53,2.49,2.38,2.36,2.39,2.41
Local_mlx5_1,2.63,1.34,2.66,2.66,2.58,2.58,2.51,2.49,2.67,2.01,2.64,2.66,2.52,2.52,2.66,2.57
Local_mlx5_2,2.48,2.63,1.34,2.48,2.37,2.34,2.39,2.37,2.52,2.7,1.9,2.55,2.4,2.43,2.4,2.41
Local_mlx5_3,2.49,2.67,2.45,1.32,2.41,2.34,2.41,2.36,2.48,2.67,2.51,1.89,2.4,2.42,2.4,2.41
Local_mlx5_4,2.35,2.49,2.34,2.37,1.11,2.29,2.28,2.21,2.4,2.54,2.36,2.35,1.68,2.26,2.25,2.28
Local_mlx5_5,2.34,2.53,2.39,2.41,2.25,1.1,2.26,2.21,2.41,2.54,2.39,2.4,2.26,1.66,2.29,2.26
Local_mlx5_6,2.36,2.53,2.4,2.42,2.29,2.31,1.14,2.31,2.4,2.54,2.41,2.35,2.31,2.26,1.66,2.31
Local_mlx5_7,2.35,2.57,2.39,2.38,2.26,2.3,2.3,1.11,2.39,2.55,2.39,2.36,2.26,2.29,2.26,1.67
Remote_mlx5_0,1.88,2.68,2.53,2.5,2.41,2.38,2.34,2.36,1.31,2.73,2.34,2.51,2.44,2.38,2.43,2.41
Remote_mlx5_1,2.57,1.97,2.59,2.57,2.67,2.69,2.66,2.71,2.67,1.34,2.69,2.68,2.57,2.59,2.58,2.54
Remote_mlx5_2,2.41,2.58,1.79,2.36,2.52,2.56,2.53,2.54,2.52,2.7,1.29,2.52,2.42,2.43,2.43,2.42
Remote_mlx5_3,2.41,2.55,2.42,1.76,2.5,2.51,2.51,2.52,2.54,2.73,2.57,1.33,2.42,2.37,2.45,2.39
Remote_mlx5_4,2.37,2.58,2.38,2.39,1.67,2.29,2.28,2.29,2.41,2.56,2.39,2.4,1.09,2.28,2.35,2.26
Remote_mlx5_5,2.29,2.47,2.31,2.31,2.35,1.77,2.32,2.4,2.43,2.57,2.43,2.42,2.31,1.09,2.3,2.32
Remote_mlx5_6,2.29,2.46,2.3,2.28,2.38,2.38,1.78,2.39,2.39,2.58,2.4,2.41,2.32,2.32,1.11,2.31
Remote_mlx5_7,2.29,2.47,2.27,2.31,2.36,2.36,2.39,1.79,2.45,2.57,2.44,2.4,2.35,2.28,2.33,1.11
